titles,addresses,clean_addresses,lat,long
BRIGHTON,"CHURCHILL SQ SHOPPING CTR, BRIGHTON, BN1 2TF","CHURCHILL SQ SHOPPING CTR, BRIGHTON, BN1 2TF",50.8227087,-0.14563063367264661
BLUEWATER,"BLUEWATER SHOPPING CENTRE, GREENHITHE, KE,  DA9 9SR","BLUEWATER SHOPPING CENTRE, GREENHITHE, KE,  DA9 9SR",51.4412,0.26824
SEVILLA,"Centro Comercial Sevilla Palmas Altas, Sevilla, 41011","Centro Comercial Sevilla Palmas Altas, Sevilla, 41011",37.33899,-5.98495
LA VAGUADA,"Centro Comercial La Vaguada, Madrid, 28029","Centro Comercial La Vaguada, Madrid, 28029",40.479987300000005,-3.7066090401002523
PARQUESUR,"Centro Comercial Parquesur, Madrid, 28916","Centro Comercial Parquesur, Madrid, 28916",40.338648899999995,-3.733975567780398
BORDEAUX SAINTE-CATHERINE,"RUE GUIRAUDE, BORDEAUX, 33,  33000","RUE GUIRAUDE, BORDEAUX, 33,  33000",44.8395646,-0.5748814
SO OUEST,"CENTRE COMMERCIAL SO OUEST, LEVALLOIS-PERRET, 92300","CENTRE COMMERCIAL SO OUEST, LEVALLOIS-PERRET, 92300",48.89183,2.29636
LILLE,"CENTRE COMMERCIAL EURALILLE, LILLE, 59800","CENTRE COMMERCIAL EURALILLE, LILLE, 59800",50.63812,3.0759
PARIS LES HALLES,"1, PASSAGE DE LA CANOPÉE, PARIS, 75,  75001","1, PASSAGE DE LA CANOPÉE, PARIS, 75,  75001",48.8615495,2.3476751
ROSNY,"Centre commercial Rosny 2, Rosny-sous-Bois, 93110","Centre commercial Rosny 2, Rosny-sous-Bois, 93110",48.87688,2.48295
CRETEIL,"Créteil Soleil - Avenue de la France Libre, Créteil, 94000","Créteil Soleil - Avenue de la France Libre, Créteil, 94000",48.7795707,2.4553928
ZARAGOZA,"Centro Comercial Puerto Venecia, Zaragoza, 50021","Centro Comercial Puerto Venecia, Zaragoza, 50021",41.60775915,-0.887548632744269
DISNEYLAND PARIS,"DISNEY VILLAGE, CHESSY, 77700","DISNEY VILLAGE, CHESSY, 77700",48.86884365,2.784209071029224
MALL OF THE NETHERLANDS,"Mall of Netherlands, Liguster 202, Leidschendam, NL,  2262 AC","Mall of Netherlands, Liguster 202, Leidschendam, NL,  2262 AC",52.08779,4.38332
AMSTERDAM,"Kalverstraat 57, Amsterdam, 1012 NZ","Kalverstraat 57, Amsterdam, 1012 NZ",52.37089,4.89189
WIJNEGEM,"SPACE 526, TURNHOUTSEBAAN 5, WIJNEGEM, 2110","SPACE 526, TURNHOUTSEBAAN 5, WIJNEGEM, 2110",51.2222,4.50178
BRUSSELS,"117-119 Rue Neuve, Brussels, Belgium,  1000","117-119 Rue Neuve, Brussels, Belgium,  1000",50.85326,4.35673
UTRECHT,"Hoog Catharijne Mall, Utrecht - Space W068, 3511 WP","Hoog Catharijne Mall, Utrecht - Space W068, 3511 WP",52.09108,5.11219
TOULOUSE,"Centre Commercial Blagnac, Blagnac, 31700","Centre Commercial Blagnac, Blagnac, 31700",43.6476398,1.3694171
CLERMONT-FERRAND,"CENTRE JAUDE, CLERMONT-FERRAND, 12,  63000","CENTRE JAUDE, CLERMONT-FERRAND, 12,  63000",45.7750168,3.083215921478071
OBERHAUSEN,"CentrO Einkaufszentrum 228, OBERHAUSEN, 46047","CentrO Einkaufszentrum 228, OBERHAUSEN, 46047",51.49036,6.88102
DÜSSELDORF,"Flinger Strasse 50, DUSSELDORF, 40213","Flinger Strasse 50, DUSSELDORF, 40213",51.2254626,6.7749448
DIJON,"Centre Commercial La Toison d'Or, Dijon, 21000","Centre Commercial La Toison d'Or, Dijon, 21000",47.3553392,5.058110341577413
ESSEN,"LIMBECKERSTRAßE 25, ESSEN, 45127","LIMBECKERSTRAßE 25, ESSEN, 45127",51.4571276,7.0105448
ILLA DIAGONAL,"Centro Comercial La Illa Diagonal, Barcelona, 08029","Centro Comercial La Illa Diagonal, Barcelona, 08029",40.1279,-5.80514
MAQUINISTA,"Centro Comercial Maquinista, Barcelona, 08030","Centro Comercial Maquinista, Barcelona, 08030",41.440821799999995,2.198288401992572
KÖLN,"HOHE STRASSE 68-82, KÖLN, 50667","HOHE STRASSE 68-82, KÖLN, 50667",50.9371689,6.9564095
LEGO HOUSE BILLUND,"OLE KIRKS PLADS 1, BILLUND, 7190","OLE KIRKS PLADS 1, BILLUND, 7190",55.7310685,9.114526914966888
LYON LA PART-DIEU,"17 RUE DU DOCTEUR BOUCHUT, LYON, 69,  69003","17 RUE DU DOCTEUR BOUCHUT, LYON, 69,  69003",45.7597751,4.8553562
SAARBRÜCKEN,"BAHNHOFSTRAßE 77, SAARBRÜCKEN, 66111","BAHNHOFSTRAßE 77, SAARBRÜCKEN, 66111",49.2366472,6.9921823
HAMBURG,"SPITALERSTRAßE 12, HAMBURG, 20095","SPITALERSTRAßE 12, HAMBURG, 20095",53.5519574,10.0021539
HANNOVER,"Grosse Packhofstrasse 30, Hannover, Germany,  30159","Grosse Packhofstrasse 30, Hannover, Germany,  30159",52.37434,9.73744
